endTime,artistName,trackName,msPlayed
2024-01-06 11:13,Mankirt Aulakh,Badnam ( Orignal Version ),6282
2024-01-06 11:35,Gurinder Gill,WAKE UP,186937
2024-01-06 11:48,Gurinder Gill,BREATHE,129358
2024-01-06 13:37,Mankirt Aulakh,Badnam ( Orignal Version ),19017
2024-01-06 14:05,Shubh,One Love,78120
2024-01-06 15:50,Gurinder Gill,WAKE UP,115172
2024-01-06 15:53,Hasan Raheem,Wishes,163993
2024-01-07 11:13,AUR,Tu hai kahan,263184
2024-01-07 11:17,Talha Anjum,Downers At Dusk,256000
2024-01-07 11:19,CKay,love nwantiti (ah ah ah),145800
2024-01-07 11:25,Atif Aslam,Woh Lamhe Woh Baatein,320040
2024-01-07 11:29,OneRepublic,Counting Stars,257266
2024-01-07 11:35,Satinder Sartaaj,Udaarian,342585
2024-01-07 11:36,hazel,hotline bling (billie version),59838
2024-01-07 11:37,OneRepublic,I Ain't Worried,8239
2024-01-07 11:37,AP Dhillon,TERE TE,54048
2024-01-07 11:37,Rosa Linn,SNAP,3343
2024-01-07 11:38,Pankaj Udhas,"Na Kajare Ki Dhar, Pt. 1 (With Jhankar Beats)",76040
2024-01-07 11:41,Guru Randhawa,Moon Rise,174056
2024-01-07 11:44,Prateek Kuhad,Kasoor,152717
2024-01-07 11:47,Rashid Ali,Kabhi Kabhi Aditi,218836
2024-01-07 11:53,Prateek Kuhad,cold/mess,281218
2024-01-07 11:55,Peachy!,Falling for U,124000
2024-01-07 11:57,Mauve,Like a Dream,151794
2024-01-07 12:00,Dhruv,double take,171743
2024-01-07 12:03,Edith Whiskers,Home,195358
2024-01-07 12:24,PUBLIC,Make You Mine,113958
2024-01-07 12:28,CKay,love nwantiti (ah ah ah),145800
2024-01-07 12:33,Atif Aslam,Woh Lamhe Woh Baatein,320040
2024-01-07 13:03,OneRepublic,Counting Stars,205080
2024-01-07 13:30,AP Dhillon,Deadly,2200
2024-01-07 13:33,Mankirt Aulakh,Badnam ( Orignal Version ),203595
2024-01-07 13:34,AP Dhillon,Foreigns,45719
2024-01-07 13:36,Gminxr,Hustlin',136649
2024-01-07 13:38,AP Dhillon,Arrogant,2304
2024-01-07 13:38,Sidhu Moose Wala,Never Fold,2316
2024-01-07 13:38,Tegi Pannu,Fully Loaded,88439
2024-01-07 13:39,Sidhu Moose Wala,0 to 100,108493
2024-01-07 13:42,Sidhu Moose Wala,Bloodlust,159085
2024-01-07 13:46,Sidhu Moose Wala,G-Shit (feat. Blockboi Twitch),233571
2024-01-07 13:49,AP Dhillon,Goat,159130
2024-01-07 13:50,AP Dhillon,Droptop,57791
2024-01-07 13:52,Gurinder Gill,Faraar,130000
2024-01-07 13:55,Shubh,Elevated,200658
2024-01-07 13:58,Sidhu Moose Wala,Outlaw,180889
2024-01-07 14:02,Sidhu Moose Wala,Just Listen,240041
2024-01-07 14:05,Sidhu Moose Wala,Jatt Da Muqabala,12934
2024-01-07 14:05,Sidhu Moose Wala,Selfmade,179513
2024-01-07 14:08,Gurinder Gill,WAKE UP,153174
2024-01-07 14:10,Gurinder Gill,NETWORK,128000
2024-01-07 14:11,Gurinder Gill,FOREVER,69259
2024-01-07 14:14,CKay,love nwantiti (ah ah ah),145800
2024-01-07 14:19,Atif Aslam,Woh Lamhe Woh Baatein,320040
2024-01-07 14:23,OneRepublic,Counting Stars,257266
2024-01-07 14:37,Satinder Sartaaj,Udaarian,236246
2024-01-07 16:37,CKay,love nwantiti (ah ah ah),10239
2024-01-07 17:01,AUR,Tu hai kahan,29155
2024-01-07 17:35,AUR,Tu hai kahan,263184
2024-01-07 17:37,Seedhe Maut,Khatta Flow,152415
2024-01-07 17:42,King,Tu Aake Dekhle,270000
2024-01-07 17:45,Rashid Ali,Kabhi Kabhi Aditi,218836
2024-01-07 17:49,Anuv Jain,Husn,217894
2024-01-07 17:50,Vishal Mishra,Manjha,52525
2024-01-07 17:54,AUR,Tu hai kahan,263184
2024-01-07 17:57,Seedhe Maut,Khatta Flow,152415
2024-01-07 18:01,King,Tu Aake Dekhle,270000
2024-01-07 18:05,Rashid Ali,Kabhi Kabhi Aditi,218836
2024-01-07 18:09,Anuv Jain,Husn,217894
2024-01-07 18:12,Vishal Mishra,Manjha,191647
2024-01-07 18:16,Kavita Seth,Rangi Saari,214000
2024-01-07 18:27,Kidjaywest,Funk Song,105382
2024-01-08 11:51,AUR,Tu hai kahan,99667
2024-01-08 12:02,Kidjaywest,Funk Song,67972
2024-01-08 12:18,Anubha Bajaj,Lamhey,1220
2024-01-08 17:13,AUR,Tu hai kahan,263184
2024-01-08 17:17,Talha Anjum,Downers At Dusk,256000
2024-01-08 17:19,CKay,love nwantiti (ah ah ah),125085
2024-01-08 17:20,Atif Aslam,Woh Lamhe Woh Baatein,9864
2024-01-08 17:21,Vishal Mishra,Pehle Bhi Main,77274
2024-01-08 17:24,Anirudh Ravichander,"Chaleya (From ""Jawan"")",200373
2024-01-08 17:28,Anuv Jain,Husn,217894
2024-01-08 17:32,Pritam,"O Maahi (From ""Dunki"")",233453
2024-01-08 17:35,Manan Bhardwaj,Arjan Vailly,182170
2024-01-08 17:37,Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",134293
2024-01-08 17:40,Vishal-Shekhar,"Ishq Jaisa Kuch (From ""Fighter"")",9289
